,Index,JobTitle,NormorlizedJobTitle
0,0,Information Technology Manager,inform technolog manag
1,1,Network Support Engineer,network support engin
2,2,Information Technology Technician,inform technolog technician
3,3,Software Engineer,softwar engin
4,4,Software Developer,softwar develop
5,5,"Information Technology, Network Administrator",inform technolog network administr
6,6,Information Technology Intern,inform technolog intern
7,7,Information Technology Instructor,inform technolog instructor
8,8,Information Technology support,inform technolog support
9,9,Senior Project Manager,senior project manag
10,10,Information Technology Professional,inform technolog profession
11,11,Desktop Engineering Supervisor,desktop engin supervisor
12,12,Desktop Engineer,desktop engin
13,13,Senior Information Technology Service Manager,senior inform technolog servic manag
14,14,Information Technnology Director,inform technnolog director
15,15,Information Technology Supervisor,inform technolog supervisor
16,16,Information Technology Specialist,inform technolog specialist
17,17,Senior Software Engineer,senior softwar engin
18,18,IT Data Analyst & Computer Programmer,inform technolog data analyst comput programm
19,19,Information Technology Project Manager,inform technolog project manag
20,20,Technical Support Engineer,technic support engin
21,21,Information Technology Director,inform technolog director
22,22,"Head, Information Technology and Information Center",head inform technolog inform center
23,23,"Director, Supply Chain and Logistics Information Technology",director suppli chain logist inform technolog
24,24,"Senior Director, COMET Program",senior director comet program
25,25,"Director, SAP Center of Excellence",director sap center excel
26,26,"Director, Supply Chain Systems",director suppli chain system
27,27,"Manager, Commercial and Field Force Systems",manag commerci field forc system
28,28,"Manager, Service Delivery Systems",manag servic deliveri system
29,29,"Manager, Client Services Systems",manag client servic system
30,30,Project Manager,project manag
31,31,Senior Technology Specialist,senior technolog specialist
32,32,Vice President Information Technology,vice presid inform technolog
33,33,Information Technology Intern (Test Automation Engineer),inform technolog intern test autom engin
34,34,Java Full Stack Developer,java full stack develop
35,35,Information Technology Supervisor I,inform technolog supervisor
36,36,Associate Information Systems Analyst,associ inform system analyst
37,37,Senior Information Technology Specialist,senior inform technolog specialist
38,38,Information Assurance Specialist /Multimedia Specialist,inform assur specialist multimedia specialist
39,39,Information Technology Assistant,inform technolog assist
40,40,SYSTEMS ADMINISTRATOR,system administr
41,41,SYSTEMS ANALYST,system analyst
42,42,"Director, Information Technology",director inform technolog
43,43,Systems Analyst II,system analyst ii
44,44,Network Administrator,network administr
45,45,Information Technology Support Specialist,inform technolog support specialist
46,46,Application Development Manager,applic develop manag
47,47,Manager of Information Technology Operations,manag inform technolog oper
48,48,Manager of Enterprise Application Support,manag enterpris applic support
49,49,Application Development Program Manager,applic develop program manag
50,50,Architect and Development Manager,architect develop manag
51,51,"Deputy Director, Office of Information Technology",deputi director offic inform technolog
52,52,Senior Consulting Information Technology Program Manager,senior consult inform technolog program manag
53,53,Information Technology Administrator,inform technolog administr
54,54,Information Technology Consultant,inform technolog consult
55,55,Senior Information Technology Project Manager,senior inform technolog project manag
56,56,Lead Regional Information Systems Coordinator,lead region inform system coordin
57,57,Information Technology Auditor,inform technolog auditor
58,58,Head of Information Security / Director of Technology,head inform secur director technolog
59,59,Senior Information Technology Consultant,senior inform technolog consult
60,60,Cloud Architect,cloud architect
61,61,Network Engineer,network engin
62,62,Web Developer,web develop
63,63,Senior Information Technology Technician,senior inform technolog technician
